,SQUID_Volt(V),timestamp,Temp(V),SQUID_Curr(A)
325,+1.62683000E-06,1558906675.511,+1.46200000E-06,-1.48056600E-03
326,+1.65287000E-06,1558906675.7193332,+1.58600000E-06,-1.48067000E-03
327,+1.58942000E-06,1558906675.9276667,+1.64800000E-06,-1.48041000E-03
328,+1.57941000E-06,1558906676.136,+1.21400000E-06,-1.48064400E-03
329,+1.57540000E-06,1558906676.3443332,+1.52400000E-06,-1.48067000E-03
330,+1.49726000E-06,1558906676.5526667,+1.58600000E-06,-1.48074800E-03
331,+1.50527000E-06,1558906676.761,+1.80900000E-06,-1.48072200E-03
332,+1.45052000E-06,1558906676.9693332,+1.10300000E-06,-1.48095600E-03
333,+1.52198000E-06,1558906677.1776667,+1.53600000E-06,-1.48113800E-03
334,+1.50327000E-06,1558906677.386,+1.36300000E-06,-1.48103400E-03
335,+1.48992000E-06,1558906677.5943332,+1.43700000E-06,-1.48067000E-03
336,+1.47523000E-06,1558906677.8026667,+1.25100000E-06,-1.48093000E-03
337,+1.40911000E-06,1558906678.011,+1.32600000E-06,-1.48106000E-03
338,+1.43115000E-06,1558906678.2193332,+1.22700000E-06,-1.48113800E-03
339,+1.39375000E-06,1558906678.4276667,+1.40000000E-06,-1.48108600E-03
340,+1.40043000E-06,1558906678.636,+1.54900000E-06,-1.48106000E-03
341,+1.37505000E-06,1558906678.8443332,+1.40000000E-06,-1.48121600E-03
