,SQUID_Volt(V),timestamp,Temp(V),MAG_CURR(A),MOD_CURR(A)
303,-4.26510000E-05,1558931649.389,+1.57060730E+00,,
304,-4.20903000E-05,1558931649.5973332,+1.57060730E+00,,
305,-4.22840000E-05,1558931649.8056667,+1.57060860E+00,,
306,-4.24442000E-05,1558931650.014,+1.57060240E+00,,
307,-4.26509000E-05,1558931650.2223332,+1.57060120E+00,,
308,-4.23774000E-05,1558931650.4306667,+1.57060240E+00,,
309,-4.18435000E-05,1558931650.639,+1.57060240E+00,,
310,-4.24441000E-05,1558931650.8473332,+1.57060120E+00,,
311,-4.25442000E-05,1558931651.0556667,+1.57060360E+00,,
312,-4.19837000E-05,1558931651.264,+1.57059990E+00,,
313,-4.22373000E-05,1558931651.4723332,+1.57060120E+00,,
314,-4.26176000E-05,1558931651.6806667,+1.57059870E+00,,
315,-4.21572000E-05,1558931651.889,+1.57060360E+00,,
316,-4.22439000E-05,1558931652.0973332,+1.57060490E+00,,
317,-4.29247000E-05,1558931652.3056667,+1.57060490E+00,,
318,-4.24642000E-05,1558931652.514,+1.57060490E+00,,
319,-4.26577000E-05,1558931652.7223332,+1.57060610E+00,,
320,-4.20437000E-05,1558931652.9306667,+1.57060490E+00,,
321,-4.22573000E-05,1558931653.139,+1.57060610E+00,,
322,-4.23174000E-05,1558931653.3473332,+1.57060360E+00,,
323,-4.22239000E-05,1558931653.5556667,+1.57060360E+00,,
324,-4.15765000E-05,1558931653.764,+1.57060610E+00,,
325,-4.19637000E-05,1558931657.364,+1.57060610E+00,,
326,-4.23508000E-05,1558931657.5723333,+1.57060240E+00,,
327,-4.28178000E-05,1558931657.7806668,+1.57060610E+00,,
328,-4.18702000E-05,1558931657.989,+1.57059990E+00,,
329,-4.20236000E-05,1558931658.1973333,+1.57060490E+00,,
330,-4.24575000E-05,1558931658.4056668,+1.57060730E+00,,
331,-4.24842000E-05,1558931658.614,+1.57060360E+00,,
332,-4.24107000E-05,1558931658.8223333,+1.57060980E+00,,
333,-4.25776000E-05,1558931659.0306668,+1.57060490E+00,,
334,-4.24174000E-05,1558931659.239,+1.57060490E+00,,
335,-4.21437000E-05,1558931659.4473333,+1.57060120E+00,,
336,-4.23908000E-05,1558931659.6556668,+1.57060360E+00,,
337,-4.27310000E-05,1558931659.864,+1.57060490E+00,,
338,-4.22039000E-05,1558931660.0723333,+1.57060490E+00,,
339,-4.21437000E-05,1558931660.2806668,+1.57060490E+00,,
340,-4.18568000E-05,1558931660.489,+1.57060120E+00,,
341,-4.25576000E-05,1558931660.6973333,+1.57060610E+00,,
342,-4.22439000E-05,1558931660.9056668,+1.57060980E+00,,
343,-4.25643000E-05,1558931661.114,+1.57060610E+00,,
344,-4.24909000E-05,1558931661.3223333,+1.57060610E+00,,
345,-4.17234000E-05,1558931661.5306668,+1.57059740E+00,,
346,-4.21239000E-05,1558931661.739,+1.57060610E+00,,
347,-4.29848000E-05,1558931661.9473333,+1.57060360E+00,,
348,-4.26577000E-05,1558931662.1556668,+1.57060610E+00,,
349,-4.24775000E-05,1558931662.364,+1.57060490E+00,,
350,-4.22440000E-05,1558931665.964,+1.57060240E+00,,
351,-4.27911000E-05,1558931666.1723332,+1.57060120E+00,,
352,-4.19971000E-05,1558931666.3806667,+1.57060240E+00,,
353,-4.22239000E-05,1558931666.589,+1.57060490E+00,,
354,-4.22373000E-05,1558931666.7973332,+1.57060360E+00,,
355,-4.23573000E-05,1558931667.0056667,+1.57060490E+00,,
356,-4.22373000E-05,1558931667.214,+1.57060610E+00,,
357,-4.21037000E-05,1558931667.4223332,+1.57060490E+00,,
358,-4.25509000E-05,1558931667.6306667,+1.57060490E+00,,
359,-4.26577000E-05,1558931667.839,+1.57060610E+00,,
360,-4.23840000E-05,1558931668.0473332,+1.57060490E+00,,
361,-4.23374000E-05,1558931668.2556667,+1.57060240E+00,,
362,-4.29112000E-05,1558931668.464,+1.57060860E+00,,
363,-4.23907000E-05,1558931668.6723332,+1.57060360E+00,,
364,-4.26109000E-05,1558931668.8806667,+1.57060360E+00,,
365,-4.30114000E-05,1558931669.089,+1.57060490E+00,,
366,-4.26511000E-05,1558931669.2973332,+1.57060730E+00,,
367,-4.40792000E-05,1558931669.5056667,+1.57060610E+00,,
368,-4.26910000E-05,1558931669.714,+1.57060490E+00,,
369,-4.24842000E-05,1558931669.9223332,+1.57060730E+00,,
370,-4.28378000E-05,1558931670.1306667,+1.57060360E+00,,
371,-4.23774000E-05,1558931670.339,+1.57060490E+00,,
372,-4.19303000E-05,1558931670.5473332,+1.57060490E+00,,
373,-4.26109000E-05,1558931670.7556667,+1.57060490E+00,,
374,-4.22038000E-05,1558931670.964,+1.57060240E+00,,
375,-4.24975000E-05,1558931674.563,+1.57060240E+00,,
376,-4.21504000E-05,1558931674.7713332,+1.57060360E+00,,
377,-4.25576000E-05,1558931674.9796667,+1.57060240E+00,,
378,-4.23440000E-05,1558931675.188,+1.57060490E+00,,
379,-4.19570000E-05,1558931675.3963332,+1.57060610E+00,,
380,-4.28979000E-05,1558931675.6046667,+1.57060240E+00,,
381,-4.20437000E-05,1558931675.813,+1.57060490E+00,,
382,-4.25910000E-05,1558931676.0213332,+1.57060730E+00,,
383,-4.19170000E-05,1558931676.2296667,+1.57060360E+00,,
384,-4.20371000E-05,1558931676.438,+1.57060240E+00,,
385,-4.19836000E-05,1558931676.6463332,+1.57060730E+00,,
386,-4.26978000E-05,1558931676.8546667,+1.57060730E+00,,
387,-4.22840000E-05,1558931677.063,+1.57060360E+00,,
388,-4.32849000E-05,1558931677.2713332,+1.57060730E+00,,
389,-4.21172000E-05,1558931677.4796667,+1.57060120E+00,,
390,-4.27312000E-05,1558931677.688,+1.57060490E+00,,
391,-4.26976000E-05,1558931677.8963332,+1.57060730E+00,,
392,-4.30982000E-05,1558931678.1046667,+1.57060360E+00,,
393,-4.21838000E-05,1558931678.313,+1.57060120E+00,,
394,-4.23507000E-05,1558931678.5213332,+1.57060240E+00,,
395,-4.26377000E-05,1558931678.7296667,+1.57060120E+00,,
396,-4.25976000E-05,1558931678.938,+1.57060610E+00,,
397,-4.22840000E-05,1558931679.1463332,+1.57061350E+00,,
398,-4.25376000E-05,1558931679.3546667,+1.57061730E+00,,
399,-4.20838000E-05,1558931679.563,+1.57062220E+00,,
400,-4.28378000E-05,1558931683.164,+1.57062220E+00,,
401,-4.20037000E-05,1558931683.3723333,+1.57062100E+00,,
402,-4.24508000E-05,1558931683.5806668,+1.57061850E+00,,
403,-4.25708000E-05,1558931683.789,+1.57061600E+00,,
404,-4.23441000E-05,1558931683.9973333,+1.57062470E+00,,
405,-4.21037000E-05,1558931684.2056668,+1.57062470E+00,,
406,-4.21237000E-05,1558931684.414,+1.57062350E+00,,
407,-4.19570000E-05,1558931684.6223333,+1.57061970E+00,,
408,-4.25109000E-05,1558931684.8306668,+1.57062350E+00,,
409,-4.22239000E-05,1558931685.039,+1.57062350E+00,,
410,-4.19637000E-05,1558931685.2473333,+1.57062720E+00,,
411,-4.22105000E-05,1558931685.4556668,+1.57062350E+00,,
412,-4.19769000E-05,1558931685.664,+1.57062350E+00,,
413,-4.18301000E-05,1558931685.8723333,+1.57062220E+00,,
414,-4.22973000E-05,1558931686.0806668,+1.57062590E+00,,
415,-4.18102000E-05,1558931686.289,+1.57062840E+00,,
416,-4.17568000E-05,1558931686.4973333,+1.57062720E+00,,
417,-4.20837000E-05,1558931686.7056668,+1.57062840E+00,,
418,-4.16500000E-05,1558931686.914,+1.57062470E+00,,
419,-4.19970000E-05,1558931687.1223333,+1.57062720E+00,,
420,-4.20838000E-05,1558931687.3306668,+1.57062100E+00,,
421,-4.19770000E-05,1558931687.539,+1.57062470E+00,,
422,-4.23240000E-05,1558931687.7473333,+1.57062840E+00,,
423,-4.24441000E-05,1558931687.9556668,+1.57062720E+00,,
424,-4.19036000E-05,1558931688.164,+1.57062470E+00,,
