,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),MOD_CURR(A),SQUID_Curr(A)
430,+3.00910000E-05,1559292733.2726667,+1.57095070E+00,,0.00018442917853231107,5.152778325123153e-05
431,+3.05448000E-05,1559292733.481,+1.57095440E+00,,0.00018498134720700986,5.152675862068966e-05
432,+3.05316000E-05,1559292733.6893332,+1.57095690E+00,,0.0001870106352683461,5.152432512315271e-05
433,+3.10988000E-05,1559292733.8976667,+1.57095440E+00,,0.00018701193866374588,5.152714285714286e-05
434,+3.16862000E-05,1559292734.106,+1.57095190E+00,,0.00018755526834611172,5.1522532019704434e-05
435,+3.08586000E-05,1559292734.3143332,+1.57095320E+00,,0.000188820295728368,5.152739901477832e-05
436,+3.07786000E-05,1559292734.5226667,+1.57095070E+00,,0.00018881972617743704,5.1527270935960594e-05
437,+3.08986000E-05,1559292734.731,+1.57095320E+00,,0.00018936349397590362,5.152586206896552e-05
438,+3.02180000E-05,1559292734.9393332,+1.57095320E+00,,0.00019049590361445783,5.152714285714286e-05
439,+3.07051000E-05,1559292735.1476667,+1.57095320E+00,,0.00019049475355969333,5.1524709359605916e-05
440,+2.99776000E-05,1559292735.356,+1.57095190E+00,,0.00019049590361445783,5.1527270935960594e-05
441,+3.10588000E-05,1559292735.5643332,+1.57095320E+00,,0.00019049590361445783,5.152509359605911e-05
442,+2.96106000E-05,1559292735.7726667,+1.57095320E+00,,0.00019049532311062433,5.15288078817734e-05
443,+3.07251000E-05,1559292735.981,+1.57095690E+00,,0.0001904963417305586,5.152214778325123e-05
444,+3.06250000E-05,1559292736.1893332,+1.57095440E+00,,0.00019049734939759034,5.1523556650246305e-05
445,+3.11656000E-05,1559292736.3976667,+1.57095320E+00,,0.00019049648411829134,5.1522788177339895e-05
446,+2.89231000E-05,1559292736.606,+1.57095690E+00,,0.00019049561883899234,5.152534975369458e-05
447,+3.07719000E-05,1559292736.8143332,+1.57095440E+00,,0.00019049532311062433,5.1525990147783255e-05
448,+3.06718000E-05,1559292737.0226667,+1.57094820E+00,,0.0001904935925520263,5.1525605911330046e-05
449,+3.17395000E-05,1559292737.231,+1.57095190E+00,,0.00019049503833515883,5.1528295566502465e-05
450,+3.20399000E-05,1559292740.831,+1.57095190E+00,,0.00019082236582694415,5.152483743842365e-05
451,+2.90701000E-05,1559292741.0393333,+1.57095320E+00,,0.00019321084337349398,5.152663054187192e-05
452,+3.18464000E-05,1559292741.2476668,+1.57095320E+00,,0.00019321070098576122,5.152381280788178e-05
453,+2.98442000E-05,1559292741.456,+1.57095190E+00,,0.0001935584446878423,5.1525221674876845e-05
454,+3.09588000E-05,1559292741.6643333,+1.57095190E+00,,0.0001948910843373494,5.1523556650246305e-05
455,+3.07986000E-05,1559292741.8726668,+1.57095570E+00,,0.00019489122672508214,5.1522788177339895e-05
456,+3.07384000E-05,1559292742.081,+1.57095570E+00,,0.00019551493975903615,5.152509359605911e-05
457,+3.08386000E-05,1559292742.2893333,+1.57095320E+00,,0.00019760416210295727,5.152586206896552e-05
458,+3.09054000E-05,1559292742.4976668,+1.57095690E+00,,0.00019760618838992334,5.152663054187192e-05
459,+3.14193000E-05,1559292742.706,+1.57095320E+00,,0.00019818238773274918,5.152432512315271e-05
460,+3.09720000E-05,1559292742.9143333,+1.57095320E+00,,0.00019941760131434832,5.152663054187192e-05
461,+3.03115000E-05,1559292743.1226668,+1.57095190E+00,,0.00019941716319824752,5.152534975369458e-05
462,+3.09053000E-05,1559292743.331,+1.57095190E+00,,0.00020029695509309967,5.152509359605911e-05
463,+3.15527000E-05,1559292743.5393333,+1.57095190E+00,,0.0002019978970427163,5.152586206896552e-05
464,+3.08320000E-05,1559292743.7476668,+1.57095570E+00,,0.00020199832420591456,5.152483743842365e-05
465,+3.13123000E-05,1559292743.956,+1.57095320E+00,,0.0002019962979189485,5.1522532019704434e-05
466,+3.07719000E-05,1559292744.1643333,+1.57095440E+00,,0.00020199832420591456,5.151920197044335e-05
467,+3.06583000E-05,1559292744.3726668,+1.57095570E+00,,0.00020199876232201535,5.1522532019704434e-05
468,+3.09854000E-05,1559292744.581,+1.57095690E+00,,0.00020199962760131436,5.152330049261084e-05
469,+3.00644000E-05,1559292744.7893333,+1.57095690E+00,,0.0002020022343921139,5.152586206896552e-05
470,+3.12390000E-05,1559292744.9976668,+1.57095440E+00,,0.00020200253012048192,5.1522275862068966e-05
471,+3.01912000E-05,1559292745.206,+1.57095190E+00,,0.00020200107338444687,5.1522532019704434e-05
472,+3.07986000E-05,1559292745.4143333,+1.57095190E+00,,0.00020200078860898137,5.1518177339901475e-05
473,+3.06583000E-05,1559292745.6226668,+1.57095070E+00,,0.00020200353778751368,5.152061083743842e-05
474,+3.09588000E-05,1559292745.831,+1.57095190E+00,,0.00020200411829134722,5.1521763546798024e-05
475,+3.09788000E-05,1559292749.431,+1.57095190E+00,,0.00020225327491785322,5.151766502463054e-05
476,+3.08052000E-05,1559292749.6393332,+1.57095320E+00,,0.000203809726177437,5.151612807881773e-05
477,+3.12724000E-05,1559292749.8476667,+1.57095320E+00,,0.0002038082803943045,5.1514206896551725e-05
478,+3.08319000E-05,1559292750.056,+1.57095190E+00,,0.00020438636363636365,5.151830541871921e-05
479,+3.06583000E-05,1559292750.2643332,+1.57095190E+00,,0.00020639002190580503,5.1521763546798024e-05
480,+3.10989000E-05,1559292750.4726667,+1.57095320E+00,,0.00020638987951807227,5.151868965517241e-05
481,+3.09855000E-05,1559292750.681,+1.57095570E+00,,0.00020683608981380067,5.151587192118226e-05
482,+3.04249000E-05,1559292750.8893332,+1.57095190E+00,,0.00020819696604600218,5.1515487684729064e-05
483,+3.10054000E-05,1559292751.0976667,+1.57095570E+00,,0.00020819696604600218,5.151728078817734e-05
484,+3.09119000E-05,1559292751.306,+1.57095570E+00,,0.00020864923329682366,5.151331034482759e-05
485,+3.05115000E-05,1559292751.5143332,+1.57095440E+00,,0.0002098747426067908,5.152099507389163e-05
486,+3.08186000E-05,1559292751.7226667,+1.57095570E+00,,0.00020987532311062432,5.1518945812807885e-05
487,+3.13658000E-05,1559292751.931,+1.57095440E+00,,0.0002108458817086528,5.1519458128078814e-05
488,+3.07452000E-05,1559292752.1393332,+1.57095190E+00,,0.00021258967141292442,5.151625615763547e-05
489,+3.12324000E-05,1559292752.3476667,+1.57095690E+00,,0.00021259025191675796,5.1518945812807885e-05
