,SQUID_Volt(V),timestamp,Temp(V),FC_CURR(A),SQUID_Curr(A)
266,-3.15459000E-05,1559281355.8383334,+1.57071640E+00,0.032930677000000005,4.964154679802955e-05
267,-3.12990000E-05,1559281356.0466669,+1.57071770E+00,0.032930704,4.964333990147783e-05
268,-3.13324000E-05,1559281356.255,+1.57072140E+00,0.032930547,4.964462068965517e-05
269,-3.17327000E-05,1559281356.4633334,+1.57071770E+00,0.032930468000000004,4.9642059113300494e-05
270,-3.18996000E-05,1559281356.6716669,+1.57071770E+00,0.032930599,4.964077832512315e-05
271,-3.18995000E-05,1559281356.88,+1.57071390E+00,0.032930468000000004,4.9637438423645315e-05
272,-3.12389000E-05,1559281357.0883334,+1.57072010E+00,0.032930259,4.963807881773399e-05
273,-3.17862000E-05,1559281357.2966669,+1.57071390E+00,0.032930298000000004,4.964257142857143e-05
274,-3.15793000E-05,1559281357.505,+1.57071520E+00,0.032930141,4.9639231527093596e-05
275,-3.16660000E-05,1559281361.104,+1.57071770E+00,0.033100549,4.9634876847290644e-05
276,-3.16860000E-05,1559281361.3123333,+1.57071150E+00,0.033929281,4.9639231527093596e-05
277,-3.16995000E-05,1559281361.5206668,+1.57071390E+00,0.033929229,4.964385221674876e-05
278,-3.20598000E-05,1559281361.729,+1.57071150E+00,0.033929307,4.964154679802955e-05
279,-3.17194000E-05,1559281361.9373333,+1.57071390E+00,0.033929307,4.964129064039409e-05
280,-3.18796000E-05,1559281362.1456668,+1.57071390E+00,0.033929202000000006,4.963949753694581e-05
281,-3.15927000E-05,1559281362.354,+1.57071520E+00,0.034155109,4.9641674876847286e-05
