,SQUID_Volt(V),timestamp,FC_CURR(A),MOD_CURR(A),SQUID_Curr(A)
282,+4.73723400E-05,1559364591.5613332,,0.00012471552026286967,4.8516768472906404e-05
283,+4.74024000E-05,1559364591.7696667,,0.00012471579408543265,4.851484729064039e-05
284,+4.73910300E-05,1559364591.978,,0.00012722295728368016,4.85163842364532e-05
285,+4.74217600E-05,1559364592.1863332,,0.00012730039430449067,4.8523172413793105e-05
286,+4.74277700E-05,1559364592.3946667,,0.00012730043811610078,4.851958620689655e-05
287,+4.74264300E-05,1559364592.603,,0.00012909576122672507,4.851471921182266e-05
288,+4.74097400E-05,1559364592.8113332,,0.00012911277108433735,4.851625615763547e-05
289,+4.74137300E-05,1559364593.0196667,,0.0001291118948521358,4.851484729064039e-05
290,+4.74230900E-05,1559364593.228,,0.0001291123986856517,4.851830541871921e-05
291,+4.74050600E-05,1559364593.4363332,,0.00012911115005476452,4.851958620689655e-05
292,+4.74057200E-05,1559364593.6446667,,0.00012911236582694412,4.8517793103448275e-05
293,+4.73690000E-05,1559364593.853,,0.00012911225629791894,4.851574384236453e-05
294,+4.73409600E-05,1559364594.0613332,,0.00012911370208105148,4.8515487684729066e-05
295,+4.73356100E-05,1559364594.2696667,,0.0001291139320920044,4.8515999999999994e-05
296,+4.73496300E-05,1559364594.478,,0.0001291150930996714,4.851766502463054e-05
297,+4.72608200E-05,1559364594.6863332,,0.0001291147973713034,4.8519201970443355e-05
298,+4.72781800E-05,1559364594.8946667,,0.00012911530120481926,4.8521507389162564e-05
299,+4.72788500E-05,1559364595.103,,0.0001291173603504929,4.852086699507389e-05
300,+4.71719900E-05,1559364598.757,,0.00012991738225629791,4.851753694581281e-05
301,+4.72087200E-05,1559364598.9653332,,0.000130797152245345,4.851510344827586e-05
302,+4.72047100E-05,1559364599.1736667,,0.00013079575027382257,4.851868965517241e-05
303,+4.71786700E-05,1559364599.382,,0.00013352169769989048,4.852112315270936e-05
304,+4.71913400E-05,1559364599.5903332,,0.00013352458926615553,4.851856157635468e-05
305,+4.71646400E-05,1559364599.7986667,,0.00013352328587075575,4.852009852216749e-05
306,+4.71766600E-05,1559364600.007,,0.00013532918948521358,4.851702463054188e-05
