Time (s),Mod Coil Voltage (V),Calculated Mod Coil Current (uA)
225.027999878,-1.63209400E-03,-16.1593465347
225.465999842,-1.63206800E-03,-16.1590891089
225.904999971,-1.63183300E-03,-16.1567623762
226.342000008,-1.63227800E-03,-16.1611683168
226.779999971,-1.63230400E-03,-16.1614257426
227.217999935,-1.63191100E-03,-16.1575346535
227.654999971,-1.63196300E-03,-16.158049505
228.092999935,-1.63214700E-03,-16.1598712871
228.530999899,-1.63209400E-03,-16.1593465347
228.968999863,-1.63235600E-03,-16.1619405941
229.405999899,-1.63193700E-03,-16.1577920792
229.842999935,-1.63209400E-03,-16.1593465347
230.280999899,-1.63234300E-03,-16.1618118812
230.717999935,-1.63218600E-03,-16.1602574257
231.154999971,-1.63214700E-03,-16.1598712871
231.592999935,-1.63222500E-03,-16.1606435644
232.030999899,-1.63212000E-03,-16.1596039604
232.468999863,-1.63210700E-03,-16.1594752475
232.906999826,-1.63218600E-03,-16.1602574257
233.343999863,-1.63210700E-03,-16.1594752475
233.781999826,-1.63246100E-03,-16.162980198
234.220000029,-1.63214700E-03,-16.1598712871
234.657999992,-1.63200300E-03,-16.1584455446
235.095999956,-1.63205500E-03,-16.158960396
235.53399992,-1.63214700E-03,-16.1598712871
235.971999884,-1.63226400E-03,-16.161029703
236.409999847,-1.63210700E-03,-16.1594752475
236.848999977,-1.63231700E-03,-16.1615544554
237.286000013,-1.63226400E-03,-16.161029703
237.723999977,-1.63206800E-03,-16.1590891089
238.162999868,-1.63204200E-03,-16.1588316832
238.600999832,-1.63238200E-03,-16.1621980198
239.039000034,-1.63231700E-03,-16.1615544554
239.475999832,-1.63210700E-03,-16.1594752475
239.914000034,-1.63212000E-03,-16.1596039604
240.351999998,-1.63185900E-03,-16.157019802
240.790999889,-1.63225100E-03,-16.1609009901
241.228999853,-1.63205500E-03,-16.158960396
241.667999983,-1.63204200E-03,-16.1588316832
242.105999947,-1.63214700E-03,-16.1598712871
242.54399991,-1.63192400E-03,-16.1576633663
242.981999874,-1.63218600E-03,-16.1602574257
243.419999838,-1.63210700E-03,-16.1594752475
243.858999968,-1.63223800E-03,-16.1607722772
244.296999931,-1.63195000E-03,-16.1579207921
244.734999895,-1.63166200E-03,-16.1550693069
245.172999859,-1.63214700E-03,-16.1598712871
245.610999823,-1.63247400E-03,-16.1631089109
246.049999952,-1.63273600E-03,-16.1657029703
246.487999916,-1.63230400E-03,-16.1614257426
246.92599988,-1.63257900E-03,-16.1641485149
247.363999844,-1.63244800E-03,-16.1628514851
247.802000046,-1.63270900E-03,-16.1654356436
248.240999937,-1.63257900E-03,-16.1641485149
248.678999901,-1.63267000E-03,-16.165049505
249.116999865,-1.63274900E-03,-16.1658316832
249.553999901,-1.63264400E-03,-16.1647920792
249.993000031,-1.63244800E-03,-16.1628514851
250.429999828,-1.63240800E-03,-16.1624554455
250.868999958,-1.63205500E-03,-16.158960396
251.306999922,-1.63247400E-03,-16.1631089109
251.746000051,-1.63261800E-03,-16.1645346535
252.184000015,-1.63250000E-03,-16.1633663366
252.621999979,-1.63268300E-03,-16.1651782178
253.059999943,-1.63263100E-03,-16.1646633663
253.498999834,-1.63236900E-03,-16.1620693069
253.937000036,-1.63230400E-03,-16.1614257426
254.375,-1.63250000E-03,-16.1633663366
254.812999964,-1.63250000E-03,-16.1633663366
255.250999928,-1.63236900E-03,-16.1620693069
255.690000057,-1.63239500E-03,-16.1623267327
256.128000021,-1.63244800E-03,-16.1628514851
256.565999985,-1.63231700E-03,-16.1615544554
257.003999949,-1.63247400E-03,-16.1631089109
257.441999912,-1.63268300E-03,-16.1651782178
257.879999876,-1.63244800E-03,-16.1628514851
258.319000006,-1.63248700E-03,-16.1632376238
258.757999897,-1.63226400E-03,-16.161029703
259.195999861,-1.63257900E-03,-16.1641485149
259.632999897,-1.63247400E-03,-16.1631089109
260.072000027,-1.63236900E-03,-16.1620693069
260.508999825,-1.63260500E-03,-16.1644059406
260.947999954,-1.63259200E-03,-16.1642772277
261.38499999,-1.63242200E-03,-16.1625940594
261.822999954,-1.63239500E-03,-16.1623267327
262.260999918,-1.63235600E-03,-16.1619405941
262.698999882,-1.63252600E-03,-16.1636237624
263.136999846,-1.63231700E-03,-16.1615544554
263.573999882,-1.63286700E-03,-16.167
264.011999846,-1.63255200E-03,-16.1638811881
264.450000048,-1.63253900E-03,-16.1637524752
264.888000011,-1.63246100E-03,-16.162980198
265.325999975,-1.63246100E-03,-16.162980198
265.763999939,-1.63242200E-03,-16.1625940594
266.201999903,-1.63255200E-03,-16.1638811881
266.638999939,-1.63250000E-03,-16.1633663366
267.076999903,-1.63265700E-03,-16.1649207921
267.514999866,-1.63256500E-03,-16.164009901
267.95299983,-1.63255200E-03,-16.1638811881
268.391000032,-1.63255200E-03,-16.1638811881
268.828999996,-1.63226400E-03,-16.161029703
269.26699996,-1.63251300E-03,-16.1634950495
269.704999924,-1.63250000E-03,-16.1633663366
270.142999887,-1.63263100E-03,-16.1646633663
270.580999851,-1.63255200E-03,-16.1638811881
271.017999887,-1.63278800E-03,-16.1662178218
271.455999851,-1.63243500E-03,-16.1627227723
271.894000053,-1.63234300E-03,-16.1618118812
272.332000017,-1.63263100E-03,-16.1646633663
272.769999981,-1.63231700E-03,-16.1615544554
273.207999945,-1.63252600E-03,-16.1636237624
273.644999981,-1.63269600E-03,-16.1653069307
274.082999945,-1.63278800E-03,-16.1662178218
274.520999908,-1.63286700E-03,-16.167
274.960000038,-1.63247400E-03,-16.1631089109
275.398999929,-1.63276200E-03,-16.165960396
275.837999821,-1.63250000E-03,-16.1633663366
276.276000023,-1.63252600E-03,-16.1636237624
276.713999987,-1.63229100E-03,-16.1612970297
277.15199995,-1.63236900E-03,-16.1620693069
