Time (s),Mod Coil Voltage (V),Calculated Mod Coil Current (uA)
231.972000122,+7.68000000E-07,0.00760396039604
232.414000034,+6.44000000E-07,0.00637623762376
232.855000019,+9.04000000E-07,0.0089504950495
233.29700017,+4.71000000E-07,0.00466336633663
233.739000082,-2.35532170E-01,-2332.00168317
234.302000046,-1.95620640E-02,-193.68380198
234.743999958,-1.18234280E-01,-1170.63643564
235.148000002,-7.10234500E-02,-703.202475248
235.551000118,-7.18895400E-02,-711.777623762
235.953999996,+7.68000000E-07,0.00760396039604
236.396000147,+8.05000000E-07,0.0079702970297
236.838999987,+6.44000000E-07,0.00637623762376
237.279999971,+2.85000000E-07,0.00282178217822
237.722000122,+6.32000000E-07,0.00625742574257
238.164000034,+6.69000000E-07,0.00662376237624
238.606000185,+6.19000000E-07,0.00612871287129
239.04700017,+8.18000000E-07,0.00809900990099
239.489000082,+9.17000000E-07,0.00907920792079
239.930999994,+4.21000000E-07,0.00416831683168
240.371999979,+5.58000000E-07,0.00552475247525
240.81400013,+6.32000000E-07,0.00625742574257
241.256000042,+4.58000000E-07,0.00453465346535
241.69900012,+5.45000000E-07,0.00539603960396
242.140000105,+8.92000000E-07,0.00883168316832
242.582000017,+4.96000000E-07,0.00491089108911
243.024000168,+8.55000000E-07,0.00846534653465
243.46600008,+7.06000000E-07,0.0069900990099
243.907000065,+5.20000000E-07,0.00514851485149
244.350000143,+9.04000000E-07,0.0089504950495
244.792000055,+8.18000000E-07,0.00809900990099
245.233999968,+8.42000000E-07,0.00833663366337
245.675000191,+6.19000000E-07,0.00612871287129
246.118000031,-2.35598300E-01,-2332.65643564
246.521000147,-2.94846100E-01,-2919.26831683
246.968000174,+4.46000000E-07,0.00441584158416
247.411000013,+6.69000000E-07,0.00662376237624
247.853000164,+5.82000000E-07,0.00576237623762
248.294000149,-1.62192670E-01,-1605.8680198
248.758000135,-4.35904500E-02,-431.588613861
249.161000013,+7.06000000E-07,0.0069900990099
